Date,Description,Amount,Merchant,Account,Likely Expense Category
07/31/2026,BT*PIRATE SHIP * POSJACKSON WY,236.41,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/30/2026,AMAZON MARKEPLACE NA PA,51.57,AMAZON MARKEPLACE NA PA,Business Amex,Office & Retail Supplies
07/30/2026,AMAZON MARKEPLACE NA PA,54.57,AMAZON MARKEPLACE NA PA,Business Amex,Office & Retail Supplies
07/30/2026,BT*PIRATE SHIP * POSJACKSON WY,65.30,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/30/2026,FSP*NORTH ATLANTIC SREADING PA,337.05,FSP*NORTH ATLANTIC SREADING PA,Business Amex,Coffee & Ingredients COGS
07/30/2026,MOBILE PAYMENT - THANK YOU,-400.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/30/2026,MOBILE PAYMENT - THANK YOU,-300.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/29/2026,BT*PIRATE SHIP * POSJACKSON WY,35.13,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/29/2026,RESTAURANT DEPOT 419MEMPHIS TN,81.30,RESTAURANT DEPOT 419MEMPHIS TN,Business Amex,Food & Beverage Ingredients COGS
07/28/2026,BT*PIRATE SHIP * POSJACKSON WY,112.94,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/27/2026,AMAZON.COM AMZN.COM/BILL WA,269.99,AMAZON.COM AMZN.COM/BILL WA,Business Amex,Office & Retail Supplies
07/27/2026,MOBILE PAYMENT - THANK YOU,-700.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/25/2026,BT*PIRATE SHIP * POSJACKSON WY,108.39,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/24/2026,AMZN DIGITAL*YZ9IW30888-802-3080 WA,18.65,AMZN DIGITAL*YZ9IW30888-802-3080 WA,Business Amex,Software & Subscriptions
07/24/2026,Amazon Prime Amazon.com WA,8.20,Amazon Prime Amazon.com WA,Business Amex,Software & Subscriptions
07/24/2026,BT*PIRATE SHIP * POSJACKSON WY,144.57,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/23/2026,ATL BELTLINE MARKET ATLANTA GA,59.38,ATL BELTLINE MARKET ATLANTA GA,Business Amex,Business Meals & Entertainment
07/23/2026,BT*PIRATE SHIP * POSJACKSON WY,89.67,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/23/2026,CANVA* I04951-447790AUSTIN TX,158.04,CANVA* I04951-447790AUSTIN TX,Business Amex,Advertising & Marketing
07/23/2026,WI-FI ONBOARD DAL CHICAGO IL,9.95,WI-FI ONBOARD DAL CHICAGO IL,Business Amex,Travel & Lodging
07/22/2026,BT*PIRATE SHIP * POSJACKSON WY,187.33,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/22/2026,IN *EXPLORADORA COFFCAVE CREEK AZ,550.00,IN *EXPLORADORA COFFCAVE CREEK AZ,Business Amex,Coffee & Ingredients COGS
07/21/2026,BT*PIRATE SHIP * POSJACKSON WY,156.16,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/21/2026,FEDEX - EXPRESS 800-622-1147 TN,22.09,FEDEX - EXPRESS 800-622-1147 TN,Business Amex,Shipping Labels & Postage COGS
07/21/2026,FEDEX259062007 FederMEMPHIS TN,4.50,FEDEX259062007 FederMEMPHIS TN,Business Amex,Shipping Labels & Postage COGS
07/21/2026,KROGER BARTLETT TN,61.87,KROGER BARTLETT TN,Business Amex,Food & Beverage Ingredients COGS
07/21/2026,MOBILE PAYMENT - THANK YOU,-1000.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/20/2026,THE UPS STORE BARTLETT TN,2.75,THE UPS STORE BARTLETT TN,Business Amex,Shipping Labels & Postage COGS
07/19/2026,INTUIT QUICKBOOKS 800-446-8848 CA,126.21,INTUIT QUICKBOOKS 800-446-8848 CA,Business Amex,Software & Subscriptions
07/18/2026,AMAZON MARKEPLACE NA PA,108.95,AMAZON MARKEPLACE NA PA,Business Amex,Office & Retail Supplies
07/18/2026,BT*PIRATE SHIP * POSJACKSON WY,65.95,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/17/2026,BT*PIRATE SHIP * POSJACKSON WY,132.90,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/16/2026,BT*PIRATE SHIP * POSJACKSON WY,31.32,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/16/2026,FEDEX Office 0751 BARTLETT TN,63.62,FEDEX Office 0751 BARTLETT TN,Business Amex,Shipping Labels & Postage COGS
07/16/2026,HOME2 SUITES NASHVILNASHVILLE TN,-169.50,HOME2 SUITES NASHVILNASHVILLE TN,Business Amex,Travel & Lodging
07/16/2026,MOBILE PAYMENT - THANK YOU,-500.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/16/2026,PY *HOME STAR STORAGMEMPHIS TN,231.00,PY *HOME STAR STORAGMEMPHIS TN,Business Amex,Storage & Warehousing
07/16/2026,PY *HOME STAR STORAGMEMPHIS TN,231.00,PY *HOME STAR STORAGMEMPHIS TN,Business Amex,Storage & Warehousing
07/16/2026,RETURN PAYMENT FEE,39.00,RETURN PAYMENT FEE,Business Amex,Bank & Processing Fees
07/15/2026,BT*PIRATE SHIP * POSJACKSON WY,236.51,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/15/2026,MOBILE PAYMENT - THANK YOU,-500.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/14/2026,AT&T UVERSE PAYMENT 8002882020 TX,56.80,AT&T UVERSE PAYMENT 8002882020 TX,Business Amex,Telecom & Internet
07/14/2026,BT*PIRATE SHIP * POSJACKSON WY,39.06,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/14/2026,HOME2 SUITES NASHVILNASHVILLE TN,368.64,HOME2 SUITES NASHVILNASHVILLE TN,Business Amex,Travel & Lodging
07/14/2026,MOBILE PAYMENT - THANK YOU,-500.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/11/2026,BT*PIRATE SHIP * POSJACKSON WY,114.53,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/11/2026,TST* ROLF AND DAUGHTNASHVILLE TN,216.39,TST* ROLF AND DAUGHTNASHVILLE TN,Business Amex,Business Meals & Entertainment
07/10/2026,AplPay OPENAI* CHATGSAN FRANCISCO CA,87.80,AplPay OPENAI* CHATGSAN FRANCISCO CA,Business Amex,AI & Automation Tools
07/10/2026,AplPay OPENAI* CHATGSAN FRANCISCO CA,87.80,AplPay OPENAI* CHATGSAN FRANCISCO CA,Business Amex,AI & Automation Tools
07/10/2026,BT*PIRATE SHIP * POSJACKSON WY,65.58,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/10/2026,GFS STORE #2906 0000MEMPHIS TN,64.01,GFS STORE #2906 0000MEMPHIS TN,Business Amex,Food & Beverage Ingredients COGS
07/10/2026,MOBILE PAYMENT - THANK YOU,-1000.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/09/2026,AMAZON.COM AMZN.COM/BILL WA,658.47,AMAZON.COM AMZN.COM/BILL WA,Business Amex,Office & Retail Supplies
07/09/2026,BT*PIRATE SHIP * POSJACKSON WY,46.02,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/09/2026,SAV-ON BAGS 9099239588 CA,600.00,SAV-ON BAGS 9099239588 CA,Business Amex,Packaging & Shipping Supplies COGS
07/08/2026,BT*PIRATE SHIP * POSJACKSON WY,66.18,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/07/2026,AMAZON.COM AMZN.COM/BILL WA,71.32,AMAZON.COM AMZN.COM/BILL WA,Business Amex,Office & Retail Supplies
07/07/2026,BT*PIRATE SHIP * POSJACKSON WY,42.26,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/07/2026,MOBILE PAYMENT - THANK YOU,-1000.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
07/06/2026,INTUIT QUICKBOOKS 800-446-8848 CA,126.21,INTUIT QUICKBOOKS 800-446-8848 CA,Business Amex,Software & Subscriptions
07/04/2026,BT*PIRATE SHIP * POSJACKSON WY,32.88,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/03/2026,AMAZON MARKEPLACE NA PA,69.05,AMAZON MARKEPLACE NA PA,Business Amex,Office & Retail Supplies
07/03/2026,BT*PIRATE SHIP * POSJACKSON WY,99.26,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/03/2026,SHOPIFY* 552950235 ELK GROVE VILLAGE IL,42.81,SHOPIFY* 552950235 ELK GROVE VILLAGE IL,Business Amex,Software & Subscriptions
07/01/2026,BT*PIRATE SHIP * POSJACKSON WY,68.65,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
07/01/2026,GOOGLE *WORKSPACE_SOCC@GOOGLE.COM CA,61.46,GOOGLE *WORKSPACE_SOCC@GOOGLE.COM CA,Business Amex,Software & Subscriptions
06/30/2026,AMAZON MARKEPLACE NA PA,109.74,AMAZON MARKEPLACE NA PA,Business Amex,Office & Retail Supplies
06/30/2026,AMAZON MARKEPLACE NA PA,109.74,AMAZON MARKEPLACE NA PA,Business Amex,Office & Retail Supplies
06/30/2026,AMAZON MARKEPLACE NA PA,197.54,AMAZON MARKEPLACE NA PA,Business Amex,Office & Retail Supplies
06/30/2026,AMAZON.COM AMZN.COM/BILL WA,31.82,AMAZON.COM AMZN.COM/BILL WA,Business Amex,Office & Retail Supplies
06/30/2026,BT*PIRATE SHIP * POSJACKSON WY,76.95,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
06/30/2026,DELTA AIR LINES,11.20,DELTA AIR LINES,Business Amex,Travel & Lodging
06/30/2026,MOBILE PAYMENT - THANK YOU,-1000.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
06/30/2026,THE CITY SILO Memphis TN,3.84,THE CITY SILO Memphis TN,Business Amex,Business Meals & Entertainment
06/30/2026,THE CITY SILO Memphis TN,42.80,THE CITY SILO Memphis TN,Business Amex,Business Meals & Entertainment
06/29/2026,Courtyard By MarriotLittle Rock AR,-18.00,Courtyard By MarriotLittle Rock AR,Business Amex,Travel & Lodging
06/29/2026,Courtyard By MarriotLittle Rock AR,18.00,Courtyard By MarriotLittle Rock AR,Business Amex,Travel & Lodging
06/27/2026,BT*PIRATE SHIP * POSJACKSON WY,89.50,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
06/27/2026,Courtyard By MarriotLittle Rock AR,-1.07,Courtyard By MarriotLittle Rock AR,Business Amex,Travel & Lodging
06/27/2026,Courtyard By MarriotLittle Rock AR,18.00,Courtyard By MarriotLittle Rock AR,Business Amex,Travel & Lodging
06/27/2026,TST* BRAVE NEW RESTALITTLE ROCK AR,134.23,TST* BRAVE NEW RESTALITTLE ROCK AR,Business Amex,Business Meals & Entertainment
06/26/2026,BT*PIRATE SHIP * POSJACKSON WY,34.81,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
06/26/2026,MOBILE PAYMENT - THANK YOU,-500.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
06/26/2026,ULINE SHIP SUPPLIES 800-295-5510 WI,146.52,ULINE SHIP SUPPLIES 800-295-5510 WI,Business Amex,Packaging & Shipping Supplies COGS
06/25/2026,BT*PIRATE SHIP * POSJACKSON WY,172.53,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
06/25/2026,HOTELCOM720759659217HOTELS.COM WA,165.06,HOTELCOM720759659217HOTELS.COM WA,Business Amex,Travel & Lodging
06/25/2026,MOBILE PAYMENT - THANK YOU,-500.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
06/24/2026,AMAZON.COM AMZN.COM/BILL WA,2362.43,AMAZON.COM AMZN.COM/BILL WA,Business Amex,Office & Retail Supplies
06/24/2026,AMZN DIGITAL*B65DN1Q888-802-3080 WA,196.45,AMZN DIGITAL*B65DN1Q888-802-3080 WA,Business Amex,Software & Subscriptions
06/24/2026,AMZN DIGITAL*LX54H8U888-802-3080 WA,18.65,AMZN DIGITAL*LX54H8U888-802-3080 WA,Business Amex,Software & Subscriptions
06/24/2026,Amazon Prime Amazon.com WA,8.20,Amazon Prime Amazon.com WA,Business Amex,Software & Subscriptions
06/24/2026,BT*PIRATE SHIP * POSJACKSON WY,46.25,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
06/24/2026,MOBILE PAYMENT - THANK YOU,-1000.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
06/24/2026,TARGET T-1030 000001BARTLETT TN,34.87,TARGET T-1030 000001BARTLETT TN,Business Amex,Office & Retail Supplies
06/23/2026,BT*PIRATE SHIP * POSJACKSON WY,103.27,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
06/23/2026,CUSTOMINK GROUPS FAIRFAX VA,45.67,CUSTOMINK GROUPS FAIRFAX VA,Business Amex,Printing & Branded Materials
